news	dont
making	sure
back	dance
see	chandler
people	pregnant
want	going
believe	make
go	big
na	home
us	yknow
get	naked
friends	really
ice	sculpture
would	cut
like	learning
win	guy
got	phoebe
na	great
youre	yknow
change	party
phoebe	ill
sweet	know
new	one
someone	wants
3	3
tofall	love
ross	makes
yes	believe
would	slap
middle	gang
get	swordfish
well	wasnt
lot	think
phoebe	oh
try	keep
go	one
looking	good
god	call
ink	stain
phoebe	understand
move	feet
easy	leave
ross	whats
moving	tulsa
alright	know
uh	phoebe
many	guys
chandler	also
thing	get
chips	salsa
headset	well
secret	ingredient
ok	hypothetically
fine	really
maybe	false
get	invited
live	boy
5	4
realizes	hard
stuff	going
going	leave
phoebe	shes
dont	cry
mean	theres
anyone	else
tap	class
bad	whole
got	another
really	supposed
us	well
want	lose
huge	mistake
hey	would
monkey	seen
notes	mirror
since	high
thats	even
label	thinking
hey	isnt
mean	little
hey	ready
baby	chandler
im	friends
youre	guy
last	two
amazing	mean
hate	ross
get	table
marriage	stuff
hostess	mean
real	world
used	like
sex	tonight
something	ive
make	think
time	tomorrow
know	wasnt
yknow	rachel
live	parents
staying	monica
